Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /user/get/{id},882,0,4,5.504598037911,1.3125829864293337,186.8061670102179,216.04648526077096,14.91301247464572,0.0,4,5,6,6,7,9,17,32,190,190,190
GET,GET /user/search,3714,0,6,7.338928342697812,1.8255839822813869,180.52845797501504,19135.60958535272,62.79697089663742,0.0,6,7,8,9,11,14,22,28,170,180,180
GET,[init] GET /user/search,300,0,33,43.77940053314281,5.505457986146212,257.3325000121258,19285.74,5.072453222668612,0.0,33,41,46,57,96,150,190,230,260,260,260
,Aggregated,4896,0,6,9.241351203872552,1.3125829864293337,257.3325000121258,15736.50510620915,82.78243659395174,0.0,6,7,8,9,13,24,46,82,190,260,260
