Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /user/get/{id},864,0,4,17.21216540796309,1.2613750295713544,1148.4463330125436,216.35300925925927,14.60830888287884,0.0,4,6,6,7,9,18,63,550,1100,1100,1100
GET,GET /user/search,3658,0,6,22.203912406039187,1.5931669622659683,1180.959332967177,19448.7821213778,61.84860404348471,0.0,6,8,9,10,12,21,270,660,1200,1200,1200
GET,[init] GET /user/search,300,0,26,42.30358377060232,8.822584000881761,256.32858398603275,18096.816666666666,5.072329473221819,0.0,26,40,49,55,89,160,250,260,260,260,260
,Aggregated,4822,0,6,22.559995359799288,1.2613750295713544,1180.959332967177,15918.626918291166,81.52924239958537,0.0,6,8,9,10,16,41,250,630,1100,1200,1200
