Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/user/search [1-letter prefix],11,0,110.0,195.85407553346488,67.17208295594901,986.829083005432,822683.5454545454,0.18755763847127968,0.0,110,120,130,130,270,990,990,990,990,990,990
GET,/user/search [2-letter prefix],23,0,70,101.67545283152519,60.20441703731194,482.5924169854261,103492.34782608696,0.39216597134903936,0.0,70,73,76,92,190,210,480,480,480,480,480
GET,/user/search [3-letter prefix],10,0,65,77.8157375054434,60.5862500378862,153.47045799717307,2.0,0.17050694406479971,0.0,66,68,70,100,150,150,150,150,150,150,150
GET,/user/search [common names],1,0,68.56354197952896,68.56354197952896,68.56354197952896,68.56354197952896,146884.0,0.017050694406479973,0.0,69,69,69,69,69,69,69,69,69,69,69
,Aggregated,45,0,72,118.6589147339368,60.20441703731194,986.829083005432,257261.04444444444,0.7672812482915987,0.0,72,81,110,120,190,270,990,990,990,990,990
