Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/user/search [1-letter prefix],1852,0,370.0,460.5033446873863,40.284916991367936,3163.964790990576,1019944.818574514,15.52405810307544,0.0,370,480,580,650,950,1200,1500,1700,2400,3200,3200
GET,/user/search [2-letter prefix],3754,0,300.0,379.7804742494447,34.73766701063141,2280.1211250480264,95151.85242408098,31.467232245650756,0.0,300,410,490,550,770,1000,1300,1400,2100,2300,2300
GET,/user/search [3-letter prefix],1143,0,290.0,383.9327833992702,34.373041009530425,2126.789625035599,2.0,9.580992662967185,0.0,290,410,490,560,810,1000,1400,1500,2100,2100,2100
GET,/user/search [common names],388,0,300.0,371.31449529275864,35.993458004668355,1927.116415987257,130204.77577319587,3.2523404665190445,0.0,300,390,460,530,720,900,1400,1600,1900,1900,1900
,Aggregated,7137,0,320.0,400.93222506549125,34.373041009530425,3163.964790990576,321796.21647751157,59.82462347821242,0.0,320,430,510,580,820,1100,1300,1500,2100,3200,3200
