Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/user/search [1-letter prefix],125,0,85,111.38393662311137,44.806916965171695,488.7857499998063,1133174.856,2.1112757507189666,0.0,85,100,120,140,200,240,380,380,490,490,490
GET,/user/search [2-letter prefix],234,0,57,69.82055537051394,41.99570795753971,313.86783299967647,100958.89316239316,3.9523082053459055,0.0,58,63,67,71,91,140,260,280,310,310,310
GET,/user/search [3-letter prefix],77,0,55,67.83206384574584,41.49312496883795,255.5727909784764,2.0,1.3005458624428834,0.0,55,58,63,68,100,220,230,260,260,260,260
GET,/user/search [common names],17,0,54,71.54468375408803,47.05879196990281,135.4206670075655,60192.705882352944,0.2871335020977795,0.0,54,74,89,100,130,140,140,140,140,140,140
,Aggregated,453,0,62,81.01618228373313,41.49312496883795,488.7857499998063,367096.39735099336,7.651263320605535,0.0,62,71,81,91,130,220,270,310,490,490,490
