Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/user/search [1-letter prefix],1341,0,20000.0,19558.52583905491,147.84162497380748,83262.1395830065,990512.1469052945,11.226385810329647,0.0,20000,22000,24000,26000,39000,43000,49000,60000,69000,83000,83000
GET,/user/search [2-letter prefix],2510,0,20000.0,19062.249361068898,144.45304201217368,78890.83600003505,98283.05298804781,21.012847415307544,0.0,20000,22000,24000,26000,38000,42000,48000,60000,69000,79000,79000
GET,/user/search [3-letter prefix],784,0,20000.0,18446.729188700898,126.71287503326312,66021.23954199487,2.0,6.563375447649846,0.0,20000,22000,24000,25000,32000,41000,48000,61000,66000,66000,66000
GET,/user/search [common names],254,0,20000.0,19777.732899276645,179.91524998797104,81356.72441695351,107737.87795275591,2.126399698600843,0.0,20000,22000,25000,28000,39000,44000,49000,64000,81000,81000,81000
,Aggregated,4889,0,20000.0,19136.839616856898,126.71287503326312,83262.1395830065,327742.73696052365,40.92900837188788,0.0,20000,22000,24000,26000,38000,42000,49000,60000,69000,83000,83000
