Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/user/search [1-letter prefix],2142,0,110.0,179.07278298706436,5.0619589746929705,1101.2155420030467,1061991.352474323,17.95042468346699,0.0,110,190,250,300,440,570,720,820,940,1100,1100
GET,/user/search [2-letter prefix],4540,0,62,133.20250275293785,1.8176250159740448,1144.0897920401767,98570.86321585903,38.046184903333405,0.0,62,130,200,240,370,500,640,750,980,1100,1100
GET,/user/search [3-letter prefix],1313,0,58,133.1115531920784,1.4984169974923134,1092.4837500206195,2.0,11.00322484098607,0.0,58,130,190,250,380,510,640,750,1100,1100,1100
GET,/user/search [common names],425,0,59,144.25862194614157,2.6346250087954104,890.7401249743998,124848.46588235295,3.561592199100594,0.0,59,150,210,280,420,510,690,820,890,890,890
,Aggregated,8420,0,77,145.41551630937516,1.4984169974923134,1144.0897920401767,329615.2517814727,70.56142662688706,0.0,77,150,210,260,390,520,670,780,980,1100,1100
