Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/user/search [1-letter prefix],2520,215,9800.0,9632.914530726854,107.79520904179662,58884.167375043035,979975.5615079365,21.14194860355814,1.8037773610178571,9800,12000,13000,14000,21000,26000,33000,39000,53000,59000,59000
GET,/user/search [2-letter prefix],5025,395,9600.0,9572.396786813604,53.67020796984434,82441.1817920045,89237.63184079602,42.15805227495224,3.3139165469862957,9600,12000,13000,14000,21000,26000,32000,38000,58000,82000,82000
GET,/user/search [3-letter prefix],1605,122,9600.0,9477.79837192713,96.74491704208776,51579.350291984156,1.84797507788162,13.46540774155191,1.0235387816008306,9600,12000,13000,14000,21000,26000,31000,37000,46000,52000,52000
GET,/user/search [common names],535,43,9700.0,9481.584497752145,98.74266700353473,55529.64616601821,103351.34018691588,4.4884692471839704,0.36075547220357146,9700,12000,13000,13000,19000,26000,32000,40000,56000,56000,56000
,Aggregated,9685,775,9700.0,9567.449929211225,53.67020796984434,82441.1817920045,306995.7096541043,81.25387786724626,6.501988161808555,9700,12000,13000,14000,21000,26000,32000,38000,56000,82000,82000
