Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/user/search [1-letter prefix],7,0,68,98.4793038639639,36.51229199022055,286.82500001741573,1120771.857142857,0.11913453890441718,0.0,68,87,130,130,290,290,290,290,290,290,290
GET,/user/search [2-letter prefix],32,0,18,26.88567446784873,8.223749988246709,258.47562501439825,97697.875,0.5446150349916214,0.0,19,23,27,30,34,48,260,260,260,260,260
GET,/user/search [3-letter prefix],5,0,6,7.144666602835059,5.905541009269655,11.10529201105237,2.0,0.08509609921744084,0.0,6,7,7,11,11,11,11,11,11,11,11
,Aggregated,44,0,19,36.03227370529732,5.905541009269655,286.82500001741573,249357.8409090909,0.7488456731134794,0.0,19,27,34,39,68,130,290,290,290,290,290
